VAR;RMS;IEMG;MAV;WL;WAMP;TARGET[0];TARGET[1];TARGET[2]
1308,952536;36,17963541;12637,90658;25,27581316;19659,88469;30;1;0;0
1619,888237;40,24818825;15411,63273;30,82326546;23909,69011;26;1;0;0
1285,789408;35,85791465;12436,61082;24,87322164;20601,58665;41;1;0;0
1948,140403;44,13780031;16617,16437;33,23432875;24699,15397;27;1;0;0
1612,409864;40,15495237;14467,22913;28,93445826;22823,69903;34;1;0;0
1513,940489;38,90947466;14902,95167;29,80590334;23727,61009;30;1;0;0
1592,590147;39,90727316;14993,64922;29,98729845;22648,53455;35;1;0;0
1727,111123;41,55908518;16142,68042;32,28536085;24831,0796;35;1;0;0
1632,658431;40,40628264;15438,26081;30,87652162;23829,93425;25;1;0;0
590,4569733;24,29944482;8498,018035;16,99603607;13428,49153;13;1;0;0
22,04133067;4,694821707;1222,447557;2,444895114;1851,975932;1;1;0;0
521,3515055;22,833126;7868,569434;15,73713887;12911,42663;7;1;0;0
1010,386265;31,78665431;10641,04215;21,2820843;17022,00806;34;1;0;0
100,5720753;10,02876224;3545,64714;7,091294279;5807,903814;0;1;0;0
1013,532412;31,83612082;12266,69975;24,5333995;19974,84198;23;1;0;0
720,8593193;26,84882352;9398,814817;18,79762963;14875,15194;22;1;0;0
1131,736906;33,64130278;13272,43972;26,54487945;21248,04069;40;1;0;0
394,2383847;19,85558106;7565,159594;15,13031919;12703,16021;6;1;0;0
215,5440902;14,68143071;4400,865654;8,801731308;6911,675465;4;1;0;0
248,9976414;15,77965911;4365,411603;8,730823206;7003,233062;17;1;0;0
971,7682696;31,17364752;9733,765172;19,46753034;16216,74909;38;1;0;0
801,6682237;28,31386125;9267,194258;18,53438852;14666,60407;18;1;0;0
1197,471358;34,60509745;12671,80307;25,34360615;20208,86762;37;1;0;0
1327,678789;36,4376186;14305,65901;28,61131802;22044,99281;30;1;0;0
1476,843176;38,43029195;15267,31021;30,53462042;24063,51231;36;1;0;0
848,2786044;29,12523902;10963,48797;21,92697595;17145,99252;15;1;0;0
1003,381742;31,67623971;10754,56521;21,50913042;17326,54928;32;1;0;0
968,3810224;31,11885126;11548,37758;23,09675517;18340,56083;22;1;0;0
1337,863908;36,57705734;14525,0776;29,05015521;22663,58403;24;1;0;0
775,0563239;27,83989373;8884,268733;17,76853747;14197,74561;25;1;0;0
845,0481511;29,06972251;10550,9995;21,10199899;15868,26494;15;1;0;0
705,1173073;26,55408989;9521,192654;19,04238531;14581,92752;23;1;0;0
1015,999906;31,87486576;11927,52157;23,85504315;18656,40424;34;1;0;0
1069,645168;32,70628261;12083,25007;24,16650015;18807,65261;23;1;0;0
47,86791936;6,918669193;2481,97379;4,96394758;3935,644687;0;1;0;0
580,7809406;24,09941271;8442,983463;16,88596693;13451,61151;28;1;0;0
1067,234932;32,66856947;11498,28411;22,99656822;18139,05751;37;1;0;0
638,6055573;25,27069069;8634,74743;17,26949486;14012,33247;19;1;0;0
776,2525899;27,86137518;9576,536131;19,15307226;15683,64519;22;1;0;0
1370,915436;37,02587868;13886,60862;27,77321724;22258,94809;56;1;0;0
427,8512366;20,68461154;7472,189681;14,94437936;11906,30311;29;1;0;0
1485,248434;38,53893444;14990,85853;29,98171707;24150,89897;55;1;0;0
20,48910054;4,526490179;1635,873647;3,271747294;2646,170169;2;1;0;0
1245,520595;35,29321287;13638,34389;27,27668778;20717,42615;32;1;0;0
791,3667836;28,1312424;10086,37806;20,17275611;15744,31609;23;1;0;0
1063,421253;32,61268543;12749,58397;25,49916794;20578,94953;24;1;0;0
452,2284449;21,26567448;7669,385725;15,33877145;12516,64286;12;1;0;0
545,6647892;23,35961542;7981,74833;15,96349666;12718,53651;27;1;0;0
1062,452497;32,595337;12076,83982;24,15367964;19667,27416;37;1;0;0
488,3541689;22,09882572;7315,963383;14,63192677;11745,61076;14;1;0;0
635,7857172;25,21594909;7713,834742;15,42766948;12508,8027;30;1;0;0
380,771092;19,51395896;6049,213703;12,09842741;9242,940309;13;1;0;0
366,5355627;19,14519947;6744,486386;13,48897277;10561,0827;4;1;0;0
1413,640096;37,59840626;14126,0209;28,2520418;22549,39092;50;1;0;0
1303,065079;36,09799609;12871,09444;25,74218887;20777,3425;34;1;0;0
394,7314596;19,86787964;5417,396035;10,83479207;8568,160322;15;1;0;0
987,125954;31,41857297;11337,41539;22,67483077;18428,50456;35;1;0;0
756,2323773;27,49971901;10178,12916;20,35625832;15854,13547;21;1;0;0
1488,603136;38,58257167;14458,76155;28,9175231;23089,84713;39;1;0;0
348,7240775;18,67451744;5964,33133;11,92866266;9840,652531;10;1;0;0
289,0543107;17,00159854;6336,74534;12,67349068;9988,946849;4;1;0;0
